station_id,STATION,NAME,lat,lng,Color,Hex,Branch,Blue,Brown,Green,Orange,Pink,Purple,Red,Yellow
40460,Merchandise Mart,Merchandise Mart,41.888969,-87.633924,Brown Purple,#9C9C9C,Mixed,No,Yes,No,No,No,Yes,No,No
40470,Racine,Racine,41.87592,-87.659458,Blue ,#00a1de,Forest Park,Yes,No,No,No,No,No,No,No
40480,Cicero-Forest Park,Cicero,41.886519,-87.744698,Green ,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
40490,Grand-Milwaukee,Grand,41.891189,-87.647578,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
40510,Garfield-South Elevated,Garfield,41.795172,-87.618327,Green ,#009b3a,Cottage Grove - 63rd,No,No,Yes,No,No,No,No,No
40520,Foster,Foster,42.05416,-87.68356,Purple ,#522398,Linden,No,No,No,No,No,Yes,No,No
40530,Diversey,Diversey,41.932732,-87.653131,Brown Purple,#9C9C9C,Mixed,No,Yes,No,No,No,Yes,No,No
40540,Wilson,Wilson,41.964273,-87.657588,Red ,#9C9C9C,Mixed,No,No,No,No,No,No,Yes,No
40550,Irving Park-O'Hare,Irving Park,41.952925,-87.729229,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
40560,Jackson-State,Jackson,41.878153,-87.627596,Red ,#c60c30,Loop,No,No,No,No,No,No,Yes,No
40570,California/Milwaukee,California,41.921939,-87.69689,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
40580,54th-Cermak,54th/Cermak,41.85177331,-87.75669201,Pink ,#e27ea6,Cermak,No,No,No,No,Yes,No,No,No
40590,Damen/Milwaukee,Damen,41.909744,-87.677437,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
40600,Kostner,Kostner,41.853751,-87.733258,Pink ,#e27ea6,Cermak,No,No,No,No,Yes,No,No,No
41010,Rockwell,Rockwell,41.966115,-87.6941,Brown ,#62361b,Kimball,No,Yes,No,No,No,No,No,No
40630,Clark-Division,Clark-Division,41.90392,-87.631412,Red ,#c60c30,Howard,No,No,No,No,No,No,Yes,No
40650,North/Clybourn,North/Clybourn,41.910655,-87.649177,Red ,#c60c30,Howard,No,No,No,No,No,No,Yes,No
40660,Armitage,Armitage,41.918217,-87.652644,Brown Purple,#9C9C9C,Mixed,No,Yes,No,No,No,Yes,No,No
40670,Western/Milwaukee,Western,41.916157,-87.687364,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
40680,Adams-Wabash,Adams/Wabash,41.879507,-87.626037,Brown Green Orange Pink Purple,#9C9C9C,Loop,No,Yes,Yes,Yes,Yes,Yes,No,No
40690,Dempster,Dempster,42.041655,-87.681602,Purple ,#522398,Linden,No,No,No,No,No,Yes,No,No
40700,Laramie,Laramie,41.887163,-87.754986,Green ,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
40710,Chicago-Franklin,Chicago,41.89681,-87.635924,Brown Purple,#9C9C9C,Mixed,No,Yes,No,No,No,Yes,No,No
